RiverMeter,RiverKM,Elevation,Easting,Northing,Year,,,,,,,,,,,,
12798,12.798,5.527,642514.393,4242737.539,2013,,,,,,,,,,,,
12795,12.795,5.507,642512.636,4242735.231,2013,,,,,,,,,,,,
12793,12.793,5.485,642511.271,4242733.626,2013,,,,,,,,,,,,
12790,12.79,5.494,642509.806,4242731.656,2013,,,,,,,,,,,,
12788,12.788,5.492,642508.245,4242729.737,2013,,,,,,,,,,,,
12786,12.786,5.509,642506.722,4242727.928,2013,,,,,,,,,,,,
12783,12.783,5.502,642505.170,4242726.289,2013,,,,,,,,,,,,
12781,12.781,5.527,642503.483,4242724.599,2013,,,,,,,,,,,,
12779,12.779,5.551,642501.769,4242722.996,2013,,,,,,,,,,,,
12776,12.776,5.571,642499.786,4242721.540,2013,,,,,,,,,,,,
12774,12.774,5.574,642498.124,4242720.133,2013,,,,,,,,,,,,
12772,12.772,5.598,642496.390,4242718.691,2013,,,,,,,,,,,,
12771,12.771,5.628,642494.588,4242717.230,2013,,,,,,,,,,,,
12768,12.768,5.636,642492.723,4242715.819,2013,,,,,,,,,,,,
12766,12.766,5.643,642490.840,4242714.459,2013,,,,,,,,,,,,
12763,12.763,5.611,642488.882,4242713.094,2013,,,,,,,,,,,,
12761,12.761,5.597,642486.931,4242711.861,2013,,,,,,,,,,,,
12759,12.759,5.596,642484.984,4242710.756,2013,,,,,,,,,,,,
12756,12.756,5.614,642482.835,4242709.534,2013,,,,,,,,,,,,
12754,12.754,5.587,642480.708,4242708.473,2013,,,,,,,,,,,,
12752,12.752,5.611,642478.753,4242707.532,2013,,,,,,,,,,,,
12750,12.75,5.605,642476.629,4242706.588,2013,,,,,,,,,,,,
12747,12.747,5.615,642474.295,4242705.538,2013,,,,,,,,,,,,
12745,12.745,5.639,642472.079,4242704.394,2013,,,,,,,,,,,,
12742,12.742,5.634,642469.817,4242703.308,2013,,,,,,,,,,,,
12739,12.739,5.604,642467.357,4242702.206,2013,,,,,,,,,,,,
12737,12.737,5.509,642465.086,4242701.190,2013,,,,,,,,,,,,
12735,12.735,5.468,642463.001,4242700.241,2013,,,,,,,,,,,,
12733,12.733,5.431,642460.914,4242699.313,2013,,,,,,,,,,,,
12730,12.73,5.309,642458.718,4242698.141,2013,,,,,,,,,,,,
12727,12.727,5.368,642456.218,4242696.915,2013,,,,,,,,,,,,
12725,12.725,5.413,642453.988,4242695.737,2013,,,,,,,,,,,,
12722,12.722,5.414,642451.398,4242694.896,2013,,,,,,,,,,,,
12720,12.72,5.429,642449.175,4242693.599,2013,,,,,,,,,,,,
12717,12.717,5.433,642446.887,4242692.484,2013,,,,,,,,,,,,
12715,12.715,5.412,642444.567,4242691.675,2013,,,,,,,,,,,,
12713,12.713,5.43,642442.133,4242690.937,2013,,,,,,,,,,,,
12711,12.711,5.402,642439.699,4242690.315,2013,,,,,,,,,,,,
12708,12.708,5.347,642437.312,4242689.332,2013,,,,,,,,,,,,
12706,12.706,5.304,642434.759,4242688.341,2013,,,,,,,,,,,,
12703,12.703,5.23,642432.403,4242687.328,2013,,,,,,,,,,,,
12701,12.701,5.259,642430.231,4242686.443,2013,,,,,,,,,,,,
12698,12.698,5.308,642428.165,4242685.073,2013,,,,,,,,,,,,
12695,12.695,5.25,642425.923,4242683.674,2013,,,,,,,,,,,,
12692,12.692,5.252,642423.994,4242682.115,2013,,,,,,,,,,,,
12690,12.69,5.193,642422.538,4242680.496,2013,,,,,,,,,,,,
12688,12.688,5.184,642420.976,4242678.483,2013,,,,,,,,,,,,
12686,12.686,5.196,642419.130,4242676.222,2013,,,,,,,,,,,,
12685,12.685,5.2,642417.390,4242673.882,2013,,,,,,,,,,,,
12682,12.682,5.226,642415.789,4242671.949,2013,,,,,,,,,,,,
12680,12.68,5.269,642414.364,4242670.021,2013,,,,,,,,,,,,
12677,12.677,5.304,642412.889,4242668.110,2013,,,,,,,,,,,,
12675,12.675,5.343,642411.357,4242665.737,2013,,,,,,,,,,,,
12672,12.672,5.335,642410.148,4242663.582,2013,,,,,,,,,,,,
12669,12.669,5.45,642409.500,4242661.017,2013,,,,,,,,,,,,
12667,12.667,5.561,642409.147,4242658.455,2013,,,,,,,,,,,,
12665,12.665,5.559,642408.651,4242655.820,2013,,,,,,,,,,,,
12662,12.662,5.57,642407.938,4242653.197,2013,,,,,,,,,,,,
12660,12.66,5.567,642407.443,4242650.437,2013,,,,,,,,,,,,
12658,12.658,5.493,642406.973,4242647.840,2013,,,,,,,,,,,,
12655,12.655,5.471,642406.480,4242644.963,2013,,,,,,,,,,,,
12653,12.653,5.466,642406.107,4242642.497,2013,,,,,,,,,,,,
12650,12.65,5.44,642405.803,4242639.731,2013,,,,,,,,,,,,
12648,12.648,5.491,642405.547,4242637.718,2013,,,,,,,,,,,,
12645,12.645,5.506,642405.255,4242635.324,2013,,,,,,,,,,,,
12643,12.643,5.51,642405.194,4242632.603,2013,,,,,,,,,,,,
12640,12.64,5.465,642405.229,4242630.187,2013,,,,,,,,,,,,
12638,12.638,5.476,642405.499,4242627.693,2013,,,,,,,,,,,,
12636,12.636,5.443,642405.863,4242625.147,2013,,,,,,,,,,,,
12633,12.633,5.44,642406.140,4242622.871,2013,,,,,,,,,,,,
12631,12.631,5.457,642406.438,4242620.174,2013,,,,,,,,,,,,
12629,12.629,5.5,642406.473,4242617.986,2013,,,,,,,,,,,,
12626,12.626,5.523,642406.696,4242615.172,2013,,,,,,,,,,,,
12623,12.623,5.54,642406.848,4242612.459,2013,,,,,,,,,,,,
12620,12.62,5.534,642407.294,4242609.793,2013,,,,,,,,,,,,
12617,12.617,5.502,642408.026,4242607.221,2013,,,,,,,,,,,,
12615,12.615,5.468,642408.726,4242604.726,2013,,,,,,,,,,,,
12612,12.612,5.434,642409.467,4242602.397,2013,,,,,,,,,,,,
12609,12.609,5.449,642410.165,4242600.072,2013,,,,,,,,,,,,
12607,12.607,5.459,642410.684,4242597.596,2013,,,,,,,,,,,,
12604,12.604,5.461,642411.201,4242595.172,2013,,,,,,,,,,,,
12602,12.602,5.475,642411.198,4242592.776,2013,,,,,,,,,,,,
12600,12.6,5.474,642411.121,4242590.297,2013,,,,,,,,,,,,
12598,12.598,5.513,642410.939,4242587.539,2013,,,,,,,,,,,,
12595,12.595,5.548,642410.634,4242584.926,2013,,,,,,,,,,,,
12592,12.592,5.567,642410.366,4242582.446,2013,,,,,,,,,,,,
12589,12.589,5.59,642409.955,4242579.242,2013,,,,,,,,,,,,
12587,12.587,5.584,642409.650,4242577.180,2013,,,,,,,,,,,,
12586,12.586,5.6,642409.170,4242574.713,2013,,,,,,,,,,,,
12584,12.584,5.557,642408.844,4242572.236,2013,,,,,,,,,,,,
12581,12.581,5.511,642408.367,4242570.035,2013,,,,,,,,,,,,
12579,12.579,5.527,642407.594,4242567.376,2013,,,,,,,,,,,,
12576,12.576,5.55,642406.832,4242565.299,2013,,,,,,,,,,,,
12574,12.574,5.514,642405.811,4242562.735,2013,,,,,,,,,,,,
12571,12.571,5.435,642404.781,4242560.442,2013,,,,,,,,,,,,
12569,12.569,5.396,642403.569,4242558.062,2013,,,,,,,,,,,,
12566,12.566,5.375,642402.372,4242555.852,2013,,,,,,,,,,,,
12564,12.564,5.381,642401.334,4242553.518,2013,,,,,,,,,,,,
12561,12.561,5.423,642400.255,4242551.213,2013,,,,,,,,,,,,
12559,12.559,5.455,642399.137,4242549.087,2013,,,,,,,,,,,,
12556,12.556,5.511,642398.003,4242546.820,2013,,,,,,,,,,,,
12554,12.554,5.48,642396.822,4242544.551,2013,,,,,,,,,,,,
12552,12.552,5.49,642395.879,4242542.594,2013,,,,,,,,,,,,
12550,12.55,5.47,642394.698,4242540.550,2013,,,,,,,,,,,,
12547,12.547,5.471,642393.606,4242538.369,2013,,,,,,,,,,,,
12545,12.545,5.499,642392.417,4242536.170,2013,,,,,,,,,,,,
12543,12.543,5.473,642391.222,4242533.839,2013,,,,,,,,,,,,
12540,12.54,5.485,642390.068,4242531.507,2013,,,,,,,,,,,,
12537,12.537,5.475,642388.918,4242529.340,2013,,,,,,,,,,,,
12535,12.535,5.499,642387.580,4242526.974,2013,,,,,,,,,,,,
12532,12.532,5.521,642386.258,4242524.610,2013,,,,,,,,,,,,
12528,12.528,5.481,642385.417,4242522.321,2013,,,,,,,,,,,,
12526,12.526,5.48,642384.485,4242520.175,2013,,,,,,,,,,,,
12524,12.524,5.451,642383.714,4242518.327,2013,,,,,,,,,,,,
12522,12.522,5.444,642382.707,4242516.242,2013,,,,,,,,,,,,
12519,12.519,5.448,642381.674,4242513.773,2013,,,,,,,,,,,,
12517,12.517,5.467,642380.600,4242511.488,2013,,,,,,,,,,,,
12515,12.515,5.483,642379.769,4242509.080,2013,,,,,,,,,,,,
12512,12.512,5.462,642378.936,4242506.474,2013,,,,,,,,,,,,
12509,12.509,5.459,642378.180,4242504.010,2013,,,,,,,,,,,,
12507,12.507,5.481,642377.360,4242501.880,2013,,,,,,,,,,,,
12504,12.504,5.446,642376.793,4242499.376,2013,,,,,,,,,,,,
12502,12.502,5.48,642376.054,4242496.814,2013,,,,,,,,,,,,
12499,12.499,5.504,642375.354,4242494.413,2013,,,,,,,,,,,,
12497,12.497,5.485,642374.512,4242491.847,2013,,,,,,,,,,,,
12494,12.494,5.497,642373.719,4242489.713,2013,,,,,,,,,,,,
12492,12.492,5.5,642372.684,4242487.308,2013,,,,,,,,,,,,
12489,12.489,5.498,642371.464,4242485.160,2013,,,,,,,,,,,,
12487,12.487,5.499,642370.316,4242482.756,2013,,,,,,,,,,,,
12484,12.484,5.491,642369.066,4242480.310,2013,,,,,,,,,,,,
12481,12.481,5.449,642367.722,4242477.797,2013,,,,,,,,,,,,
12479,12.479,5.502,642366.698,4242475.472,2013,,,,,,,,,,,,
12477,12.477,5.464,642365.771,4242473.232,2013,,,,,,,,,,,,
12474,12.474,5.489,642364.832,4242470.526,2013,,,,,,,,,,,,
12471,12.471,5.533,642363.915,4242467.937,2013,,,,,,,,,,,,
12469,12.469,5.522,642363.016,4242465.392,2013,,,,,,,,,,,,
12467,12.467,5.558,642362.367,4242463.420,2013,,,,,,,,,,,,
12465,12.465,5.539,642361.737,4242460.772,2013,,,,,,,,,,,,
12462,12.462,5.511,642361.289,4242458.274,2013,,,,,,,,,,,,
12460,12.46,5.464,642360.858,4242455.913,2013,,,,,,,,,,,,
12458,12.458,5.426,642360.639,4242453.854,2013,,,,,,,,,,,,
12456,12.456,5.403,642360.484,4242451.274,2013,,,,,,,,,,,,
12454,12.454,5.361,642360.650,4242448.883,2013,,,,,,,,,,,,
12452,12.452,5.366,642360.955,4242446.597,2013,,,,,,,,,,,,
12449,12.449,5.372,642361.509,4242444.139,2013,,,,,,,,,,,,
12447,12.447,5.374,642362.302,4242441.685,2013,,,,,,,,,,,,
12444,12.444,5.341,642362.615,4242439.284,2013,,,,,,,,,,,,
12443,12.443,5.378,642363.134,4242436.743,2013,,,,,,,,,,,,
12440,12.44,5.295,642363.455,4242433.994,2013,,,,,,,,,,,,
12438,12.438,5.29,642363.701,4242431.451,2013,,,,,,,,,,,,
12435,12.435,5.328,642363.893,4242428.614,2013,,,,,,,,,,,,
